episode,total_reward,steps,success,epsilon,loss,collected_key,solved_puzzles,opened_door,moving_avg_reward,moving_success_rate,moving_avg_loss
1,-634,150,0,0.997,2.1115420426445444,1,0,0,-634.0,0.0,2.1115420426445444
2,-552,150,0,0.994009,1.016293533841769,1,1,0,-593.0,0.0,1.5639177882431565
3,-588,150,0,0.991026973,1.0102405935525893,0,2,0,-591.3333333333334,0.0,1.379358723346301
4,-558,150,0,0.988053892081,1.0028625478347142,1,2,0,-583.0,0.0,1.2852346794684042
5,-589,150,0,0.985089730404757,0.9454563844203949,1,1,0,-584.2,0.0,1.2172790204588024
6,-509,150,0,0.9821344612135428,0.9402150766054789,1,2,0,-571.6666666666666,0.0,1.1711016964832484
7,-566,150,0,0.9791880578299021,0.8549604453643163,1,2,0,-570.8571428571429,0.0,1.1259386606091153
8,-583,150,0,0.9762504936564125,0.8521831532319387,0,1,0,-572.375,0.0,1.0917192221869683
9,-484,150,0,0.9733217421754432,0.8392521575093269,1,2,0,-562.5555555555555,0.0,1.0636673261116747
10,-506,150,0,0.9704017769489168,0.8431735803683599,1,2,0,-556.9,0.0,1.0416179515373432
11,-596,150,0,0.9674905716180701,0.7676347386837006,1,1,0,-560.4545454545455,0.0,1.0167103867324665
12,-572,150,0,0.9645880999032158,0.7627614156405131,1,1,0,-561.4166666666666,0.0,0.9955479724748039
13,-612,150,0,0.9616943356035061,0.7135792681574822,0,1,0,-565.3076923076923,0.0,0.9738580721427023
14,-664,150,0,0.9588092525966956,0.7026939696073532,0,1,0,-572.3571428571429,0.0,0.9544892076758915
15,-529,150,0,0.9559328248389055,0.7287213397522767,0,1,0,-569.4666666666667,0.0,0.9394380164809839
16,-545,150,0,0.9530650263643888,0.6548402948180835,1,1,0,-567.9375,0.0,0.9216506588770526
17,-513,150,0,0.9502058312852957,0.6936612515648206,1,1,0,-564.7058823529412,0.0,0.9082395172704507
18,-640,150,0,0.9473552137914398,0.6734310415883858,0,0,0,-568.8888888888889,0.0,0.8951946019547804
19,-562,150,0,0.9445131481500655,0.6859553883473078,0,1,0,-568.5263157894736,0.0,0.8841820117649135
20,-504,150,0,0.9416796087056153,0.678780530889829,1,2,0,-565.3,0.0,0.8739119377211593
21,-527,150,0,0.9388545698794984,0.6809155358870824,1,0,0,-563.4761904761905,0.0,0.8647216328719176
22,-485,150,0,0.93603800616986,0.6840338175495465,1,2,0,-559.9090909090909,0.0,0.8565085503572643
23,-577,150,0,0.9332298921513504,0.617124561270078,1,1,0,-560.6521739130435,0.0,0.8461005508317344
24,-560,150,0,0.9304302024748964,0.6082814777890841,0,2,0,-560.625,0.0,0.8361914227882906
25,-604,150,0,0.9276389118674717,0.6251314093669256,1,0,0,-562.36,0.0,0.8277490222514361
26,-574,150,0,0.9248559951318693,0.6423753699660302,1,1,0,-562.8076923076923,0.0,0.820619266394305
27,-553,150,0,0.9220814271464737,0.6369057590762774,0,2,0,-562.4444444444445,0.0,0.8138150624195633
28,-422,150,0,0.9193151828650342,0.6366905081768831,1,1,0,-557.4285714285714,0.0,0.8074891854823247
29,-515,150,0,0.9165572373164391,0.5684458373486996,0,0,0,-555.9655172413793,0.0,0.7992463114087515
30,-521,150,0,0.9138075656044898,0.5730226743717989,0,1,0,-554.8,0.0,0.7917055235075198
31,-527,150,0,0.9110661429076764,0.567951456407706,1,2,0,-553.9032258064516,0.0,0.7844876503752677
32,-614,150,0,0.9083329444789534,0.557281940728426,0,0,0,-555.78125,0.0,0.7773874719488039
33,-466,150,0,0.9056079456455165,0.5386939096450806,1,1,0,-553.060606060606,0.0,0.7701543336971759
34,-563,150,0,0.90289112180858,0.5794559344649315,0,1,0,-553.3529411764706,0.0,0.7645455572491686
35,-654,150,0,0.9001824484431542,0.560232070783774,0,1,0,-556.2285714285714,0.0,0.7587080290644431
36,-507,150,0,0.8974819010978248,0.5709637908885876,0,0,0,-554.8611111111111,0.0,0.753492911337336
37,-545,150,0,0.8947894553945313,0.49972030078371366,1,1,0,-554.5945945945946,0.0,0.746634192133184
38,-533,150,0,0.8921050870283477,0.5079902773102124,1,1,0,-554.0263157894736,0.0,0.7403540891115269
39,-531,150,0,0.8894287717672626,0.4932591855029265,1,0,0,-553.4358974358975,0.0,0.734018322352332
40,-506,150,0,0.8867604854519608,0.5338914137085279,1,1,0,-552.25,0.0,0.7290151496362369
41,-437,150,0,0.884100203995605,0.61469506919384,1,1,0,-549.439024390244,0.0,0.7262268549913005
42,-550,150,0,0.8814479033836181,0.5135147684315841,1,1,0,-549.452380952381,0.0,0.7211622815017834
43,-516,150,0,0.8788035596734672,0.5597794116040071,1,1,0,-548.6744186046511,0.0,0.7174091915041606
44,-596,150,0,0.8761671489944468,0.4974327961107095,1,1,0,-549.75,0.0,0.7124097279724914
45,-528,150,0,0.8735386475474635,0.5356260391821464,1,1,0,-549.2666666666667,0.0,0.7084812015549281
46,-555,150,0,0.8709180316048211,0.5224310794472694,0,0,0,-549.3913043478261,0.0,0.7044366336830225
47,-495,150,0,0.8683052775100066,0.4681584618985653,1,2,0,-548.2340425531914,0.0,0.6994094385386723
48,-539,150,0,0.8657003616774767,0.4705475097397963,0,1,0,-548.0416666666666,0.0,0.6946414816886958
49,-467,150,0,0.8631032605924442,0.47375610798597334,1,0,0,-546.3877551020408,0.0,0.6901336169192523
50,-494,150,0,0.860513950810667,0.4502358736842871,1,0,0,-545.34,0.0,0.6853356620545532
51,-482,150,0,0.857932408958235,0.45540231332182884,1,1,0,-544.0980392156863,0.0,0.6808271650205782
52,-454,150,0,0.8553586117313603,0.4589302757382393,1,2,0,-542.3653846153846,0.0,0.6765599171497639
53,-481,150,0,0.8527925358961662,0.4931038149197896,1,1,0,-541.2075471698113,0.0,0.6730984812586324
54,-444,150,0,0.8502341582884777,0.38907059155404566,1,0,0,-539.4074074074074,0.0,0.6678387055233622
55,-493,150,0,0.8476834558136123,0.42354861768583457,1,1,0,-538.5636363636364,0.0,0.6633970675626799
56,-534,150,0,0.8451404054461714,0.4245376206934452,1,2,0,-538.4821428571429,0.0,0.6591317202971579
57,-482,150,0,0.8426049842298329,0.4429208276420832,0,2,0,-537.4912280701755,0.0,0.6553385467418056
58,-481,150,0,0.8400771692771434,0.4946229572842519,0,1,0,-536.5172413793103,0.0,0.6525675883028823
59,-462,150,0,0.837556937769312,0.43332345763842267,1,1,0,-535.2542372881356,0.0,0.6488515860882305
60,-505,150,0,0.835044266956004,0.47520082361996174,0,0,0,-534.75,0.0,0.6459574067137592
61,-454,150,0,0.8325391341551359,0.49779003073771794,0,1,0,-533.4262295081967,0.0,0.6435284333371029
62,-446,150,0,0.8300415167526705,0.4724276370803515,1,1,0,-532.016129032258,0.0,0.6407687430748972
63,-472,150,0,0.8275513922024125,0.4657165842751662,1,1,0,-531.063492063492,0.0,0.6379901373796634
64,-489,150,0,0.8250687380258053,0.4788666331768036,0,0,0,-530.40625,0.0,0.6355038326264937
65,-539,150,0,0.8225935318117279,0.4016267545272907,0,1,0,-530.5384615384615,0.0,0.6319057237326599
66,-457,150,0,0.8201257512162927,0.4196338430047035,1,0,0,-529.4242424242424,0.0,0.6286894831155696
67,-530,150,0,0.8176653739626438,0.464108245074749,0,0,0,-529.4328358208955,0.0,0.6262330467269006
68,-528,150,0,0.8152123778407558,0.4292163535952568,0,2,0,-529.4117647058823,0.0,0.6233357424161411
69,-425,150,0,0.8127667407072335,0.4559209007024765,1,1,0,-527.8985507246376,0.0,0.6209094403623199
70,-514,150,0,0.8103284404851119,0.4466627692679564,0,1,0,-527.7,0.0,0.618420202203829
71,-578,150,0,0.8078974551636565,0.4425711001704137,0,0,0,-528.4084507042254,0.0,0.6159434542878653
72,-516,150,0,0.8054737627981655,0.4505911826590697,1,0,0,-528.2361111111111,0.0,0.6136468949596877
73,-392,150,0,0.803057341509771,0.3974980925520261,1,2,0,-526.3698630136986,0.0,0.6106859524609526
74,-490,150,0,0.8006481694852418,0.40629300204416113,1,1,0,-525.8783783783783,0.0,0.6079238855634284
75,-442,150,0,0.798246224976786,0.4136128555983305,0,1,0,-524.76,0.0,0.6053330718305604
76,-487,150,0,0.7958514863018556,0.44130327155192695,1,1,0,-524.2631578947369,0.0,0.6031747849847889
77,-386,150,0,0.79346393184295,0.38862444485227265,1,1,0,-522.4675324675325,0.0,0.6003884169311199
78,-439,150,0,0.7910835400474212,0.44035668993989624,1,1,0,-521.3974358974359,0.0,0.5983367281235401
79,-438,150,0,0.7887102894272789,0.3809546091904243,0,1,0,-520.3417721518987,0.0,0.5955850557319817
80,-423,150,0,0.7863441585589971,0.4042730261385441,0,2,0,-519.125,0.0,0.5931936553620637
81,-441,150,0,0.78398512608332,0.38832407504320143,1,1,0,-518.1604938271605,0.0,0.5906644012840531
82,-469,150,0,0.7816331707050701,0.40782317784925304,1,0,0,-517.560975609756,0.0,0.5884346302665554
83,-406,150,0,0.7792882711929549,0.43954587417344254,1,1,0,-516.2168674698795,0.0,0.5866407898316988
84,-448,150,0,0.776950406379376,0.38135211989283563,1,0,0,-515.4047619047619,0.0,0.5841968770943312
85,-401,150,0,0.7746195551602378,0.352446797216932,1,1,0,-514.0588235294117,0.0,0.5814704055663619
86,-437,150,0,0.7722956964947572,0.4248410587757826,1,1,0,-513.1627906976744,0.0,0.5796491340920529
87,-403,150,0,0.7699788094052729,0.35413449997703234,1,1,0,-511.8965517241379,0.0,0.5770570118608457
88,-428,150,0,0.767668872977057,0.40565183679262795,1,1,0,-510.9431818181818,0.0,0.575109225780525
89,-441,150,0,0.7653658663581259,0.37120003076891106,1,2,0,-510.1573033707865,0.0,0.5728181112298327
90,-485,150,0,0.7630697687590515,0.4214735293885072,1,1,0,-509.8777777777778,0.0,0.571136504764929
91,-477,150,0,0.7607805594527743,0.3835016492754221,1,0,0,-509.5164835164835,0.0,0.5690745832760334
92,-446,150,0,0.7584982177744161,0.34903780952095986,1,1,0,-508.82608695652175,0.0,0.5666828792134783
93,-428,150,0,0.7562227231210928,0.34120422632743913,1,1,0,-507.9569892473118,0.0,0.5642583775695423
94,-456,150,0,0.7539540549517295,0.40687029163042704,0,2,0,-507.40425531914894,0.0,0.5625840362297646
95,-477,150,0,0.7516921927868743,0.3660344749192397,1,1,0,-507.0842105263158,0.0,0.5605150934791274
96,-443,150,0,0.7494371162085136,0.4164710022012393,1,1,0,-506.4166666666667,0.0,0.5590146341949828
97,-381,150,0,0.747188804859888,0.31619395725429056,1,2,0,-505.12371134020617,0.0,0.5565113282471407
98,-411,150,0,0.7449472384453084,0.3897926223029693,1,1,0,-504.16326530612247,0.0,0.554810116961996
99,-388,150,0,0.7427123967299725,0.37864362001419066,0,1,0,-502.989898989899,0.0,0.5530306573968666
100,-392,150,0,0.7404842595397826,0.39232878108819325,1,1,0,-501.88,0.0,0.55142363863378
101,-427,150,0,0.7382628067611632,0.46760666569073994,1,1,0,-499.81,0.0,0.5349842848642419
102,-439,150,0,0.7360480183408797,0.4313376118739446,1,0,0,-498.68,0.0,0.5291347256445637
103,-427,150,0,0.7338398742858571,0.388985150406758,1,1,0,-497.07,0.0,0.5229221712131052
104,-482,150,0,0.7316383546629995,0.388219044059515,1,0,0,-496.31,0.0,0.5167757361753533
105,-432,150,0,0.7294434395990105,0.3594266412158807,1,1,0,-494.74,0.0,0.5109154387433081
106,-398,150,0,0.7272551092802134,0.3661913040777047,1,1,0,-493.63,0.0,0.5051752010180305
107,-473,150,0,0.7250733439523728,0.38804982920487724,1,1,0,-492.7,0.0,0.500506094856436
108,-428,150,0,0.7228981239205157,0.38702705420553685,1,1,0,-491.15,0.0,0.495854533866172
109,-478,150,0,0.7207294295487541,0.35169184498488903,1,0,0,-491.09,0.0,0.4909789307409277
110,-450,150,0,0.7185672412601078,0.3895527283102274,1,1,0,-490.53,0.0,0.4864427222203463
111,-419,150,0,0.7164115395363275,0.31589271696905297,1,1,0,-488.76,0.0,0.4819253020031999
112,-450,150,0,0.7142623049177186,0.3780438299725453,1,0,0,-487.54,0.0,0.4780781261465201
113,-459,150,0,0.7121195180029655,0.3371824394911528,1,0,0,-486.01,0.0,0.4743141578598569
114,-386,150,0,0.7099831594489566,0.31409277277688186,1,1,0,-483.23,0.0,0.4704281458915522
115,-479,150,0,0.7078532099706097,0.32955448475976784,1,0,0,-482.73,0.0,0.4664364773416271
116,-463,150,0,0.7057296503406979,0.32592910749216875,1,0,0,-481.91,0.0,0.46314736546836793
117,-386,150,0,0.7036124613896758,0.30281428014238676,1,1,0,-480.64,0.0,0.45923889575414356
118,-462,150,0,0.7015016240055068,0.32559227508803207,1,0,0,-478.86,0.0,0.45576050808914004
119,-454,150,0,0.6993971191334902,0.2891389083613952,1,0,0,-477.78,0.0,0.451792343289281
120,-352,150,0,0.6972989277760897,0.3050355968500177,1,1,0,-476.26,0.0,0.4480548939488828
121,-433,150,0,0.6952070309927615,0.46371184120575587,1,0,0,-475.32,0.0,0.44588285700206953
122,-410,150,0,0.6931214098997832,0.45936223993698755,1,1,0,-474.57,0.0,0.44363614122594397
123,-450,150,0,0.6910420456700839,0.39339352448781334,1,1,0,-473.3,0.0,0.4413988308581213
124,-441,150,0,0.6889689195330736,0.3511390864352385,1,1,0,-472.11,0.0,0.43882740694458283
125,-396,150,0,0.6869020127744744,0.37606119573116303,1,2,0,-470.03,0.0,0.43633670480822523
126,-348,150,0,0.684841306736151,0.3219891630361478,1,1,0,-467.77,0.0,0.43313284273892644
127,-416,150,0,0.6827867828159425,0.3616791196167469,1,1,0,-466.4,0.0,0.4303805763443311
128,-395,150,0,0.6807384224674947,0.33639830532173315,1,1,0,-466.13,0.0,0.4273776543157796
129,-429,150,0,0.6786962072000923,0.3200564600278934,1,1,0,-465.27,0.0,0.42489376054257155
130,-351,150,0,0.676660118578492,0.3214553037037452,1,1,0,-463.57,0.0,0.422378086835891
131,-385,150,0,0.6746301382227565,0.3616861578077078,1,1,0,-462.15,0.0,0.420315433849891
132,-346,150,0,0.6726062478080883,0.318921382278204,1,2,0,-459.47,0.0,0.4179318282653888
133,-424,150,0,0.6705884290646641,0.27786473619441193,1,0,0,-459.05,0.0,0.41532353653088216
134,-344,150,0,0.66857666377747,0.2813698111474514,1,2,0,-456.86,0.0,0.41234267529770735
135,-392,150,0,0.6665709337861376,0.299992230484883,1,1,0,-454.24,0.0,0.40974027689471837
