episode,level_id,level_name,total_reward,steps,success,epsilon,loss,collected_key,solved_puzzles,opened_door,moving_avg_reward,moving_success_rate
1,1,Alternative Maze Room,-538,150,0,0.997,1.9951751711724819,0,2,0,-538.0,0.0
2,2,Advanced Puzzle Room,-644,150,0,0.994009,1.0426325875520706,1,0,0,-591.0,0.0
3,1,Alternative Maze Room,-612,150,0,0.991026973,0.9752216601371765,1,1,0,-598.0,0.0
4,1,Alternative Maze Room,-616,150,0,0.988053892081,0.9552244712909063,0,2,0,-602.5,0.0
5,2,Advanced Puzzle Room,-638,150,0,0.985089730404757,0.8508655917644501,1,0,0,-609.6,0.0
6,1,Alternative Maze Room,-623,150,0,0.9821344612135428,0.8752414898077647,1,0,0,-611.8333333333334,0.0
7,0,Classic Escape Room,-626,150,0,0.9791880578299021,0.828084277510643,0,2,0,-613.8571428571429,0.0
8,2,Advanced Puzzle Room,-645,150,0,0.9762504936564125,0.8070763752857844,0,0,0,-617.75,0.0
9,2,Advanced Puzzle Room,-562,150,0,0.9733217421754432,0.7951562656958898,1,0,0,-611.5555555555555,0.0
10,0,Classic Escape Room,-624,150,0,0.9704017769489168,0.7176177555322647,1,0,0,-612.8,0.0
11,2,Advanced Puzzle Room,-642,150,0,0.9674905716180701,0.7093359473347663,1,0,0,-615.4545454545455,0.0
12,0,Classic Escape Room,-641,150,0,0.9645880999032158,0.6705374644200007,0,1,0,-617.5833333333334,0.0
13,1,Alternative Maze Room,-547,150,0,0.9616943356035061,0.6318644883235296,0,1,0,-612.1538461538462,0.0
14,0,Classic Escape Room,-472,150,0,0.9588092525966956,0.6729066761334738,1,2,0,-602.1428571428571,0.0
15,0,Classic Escape Room,-538,150,0,0.9559328248389055,0.6351548129320145,0,1,0,-597.8666666666667,0.0
16,1,Alternative Maze Room,-575,150,0,0.9530650263643888,0.66455168902874,1,1,0,-596.4375,0.0
17,0,Classic Escape Room,-589,150,0,0.9502058312852957,0.6837108777960141,1,0,0,-596.0,0.0
18,2,Advanced Puzzle Room,-579,150,0,0.9473552137914398,0.6743320227662722,1,1,0,-595.0555555555555,0.0
19,0,Classic Escape Room,-620,150,0,0.9445131481500655,0.6410248388350009,1,1,0,-596.3684210526316,0.0
20,1,Alternative Maze Room,-549,150,0,0.9416796087056153,0.6445779514312744,0,1,0,-594.0,0.0
21,1,Alternative Maze Room,-541,150,0,0.9388545698794984,0.6700955254336198,1,1,0,-591.4761904761905,0.0
22,1,Alternative Maze Room,-522,150,0,0.93603800616986,0.7424768928686778,1,1,0,-588.3181818181819,0.0
23,0,Classic Escape Room,-548,150,0,0.9332298921513504,0.6566744073232015,1,0,0,-586.5652173913044,0.0
24,2,Advanced Puzzle Room,-660,150,0,0.9304302024748964,0.6527317809561889,0,0,0,-589.625,0.0
25,2,Advanced Puzzle Room,-539,150,0,0.9276389118674717,0.6060406696796418,1,1,0,-587.6,0.0
26,0,Classic Escape Room,-584,150,0,0.9248559951318693,0.6058705542484919,1,0,0,-587.4615384615385,0.0
27,2,Advanced Puzzle Room,-563,150,0,0.9220814271464737,0.6388415009776751,1,2,0,-586.5555555555555,0.0
28,1,Alternative Maze Room,-567,150,0,0.9193151828650342,0.6292352280020714,1,1,0,-585.8571428571429,0.0
29,1,Alternative Maze Room,-609,150,0,0.9165572373164391,0.6506137404839197,0,1,0,-586.6551724137931,0.0
30,2,Advanced Puzzle Room,-595,150,0,0.9138075656044898,0.67578651830554,0,0,0,-586.9333333333333,0.0
31,2,Advanced Puzzle Room,-612,150,0,0.9110661429076764,0.5991570270061493,0,1,0,-587.741935483871,0.0
32,2,Advanced Puzzle Room,-522,150,0,0.9083329444789534,0.6281799071033796,1,1,0,-585.6875,0.0
