episode,stage,stage_name,rows,cols,wall_density,num_puzzles,level_seed,total_reward,steps,success,rolling_success,collected_key,solved_puzzles,opened_door,epsilon,loss
1,1,stage_1_small_easy,6,6,0.0816,1,414,-310,108,0,0.0,1,0,0,0.998,1.298862878481547
2,1,stage_1_small_easy,6,6,0.0943,1,516,-319,108,0,0.0,0,1,0,0.996004,1.1197276203720659
3,1,stage_1_small_easy,6,6,0.0856,1,633,-478,108,0,0.0,0,0,0,0.994011992,1.0861041518273178
4,1,stage_1_small_easy,6,6,0.0924,1,920,-373,108,0,0.0,0,0,0,0.992023968016,0.7267156993901288
5,1,stage_1_small_easy,6,6,0.1024,1,444,-385,108,0,0.0,1,0,0,0.990039920079968,0.534386250845812
6,1,stage_1_small_easy,6,6,0.1187,1,453,-414,108,0,0.0,0,0,0,0.9880598402398081,0.4596089254374857
7,1,stage_1_small_easy,6,6,0.1122,1,95,-352,108,0,0.0,0,0,0,0.9860837205593285,0.33239715905101214
8,1,stage_1_small_easy,6,6,0.1045,1,249,-332,108,0,0.0,0,1,0,0.9841115531182099,0.2548126361712261
9,1,stage_1_small_easy,6,6,0.0876,1,244,-423,108,0,0.0,0,0,0,0.9821433300119734,0.19782251367966333
10,1,stage_1_small_easy,6,6,0.0836,1,896,-308,108,0,0.0,0,0,0,0.9801790433519495,0.22019871431230395
11,1,stage_1_small_easy,6,6,0.0921,1,723,-423,108,0,0.0,0,0,0,0.9782186852652456,0.24324733625959466
12,1,stage_1_small_easy,6,6,0.1126,1,986,-326,108,0,0.0,1,0,0,0.976262247894715,0.22249950127055249
13,1,stage_1_small_easy,6,6,0.0837,1,324,-376,108,0,0.0,0,0,0,0.9743097233989256,0.1955215417676502
14,1,stage_1_small_easy,6,6,0.0874,1,33,-362,108,0,0.0,0,0,0,0.9723611039521278,0.2152476159993697
15,1,stage_1_small_easy,6,6,0.0828,1,897,-372,108,0,0.0,1,0,0,0.9704163817442236,0.23955650310273524
16,1,stage_1_small_easy,6,6,0.1137,1,857,-324,108,0,0.0,1,0,0,0.9684755489807352,0.1952220435357756
17,1,stage_1_small_easy,6,6,0.114,1,593,-540,108,0,0.0,0,0,0,0.9665385978827737,0.23406835445375354
18,1,stage_1_small_easy,6,6,0.0997,1,84,-295,108,0,0.0,0,1,0,0.9646055206870082,0.2306422837147558
19,1,stage_1_small_easy,6,6,0.0995,1,865,-406,108,0,0.0,0,0,0,0.9626763096456342,0.2104927969544574
20,1,stage_1_small_easy,6,6,0.0806,1,119,-291,108,0,0.0,1,0,0,0.9607509570263429,0.19788593998937695
21,1,stage_1_small_easy,6,6,0.1118,1,436,-365,108,0,0.0,0,0,0,0.9588294551122902,0.24781553716295296
22,1,stage_1_small_easy,6,6,0.1113,1,46,-354,108,0,0.0,0,1,0,0.9569117962020657,0.21482242598991702
23,1,stage_1_small_easy,6,6,0.085,1,620,-322,108,0,0.0,1,0,0,0.9549979726096616,0.20719866199349915
24,1,stage_1_small_easy,6,6,0.0837,1,37,-326,108,0,0.0,0,0,0,0.9530879766644422,0.25414060715034054
25,1,stage_1_small_easy,6,6,0.1184,1,735,-343,108,0,0.0,0,0,0,0.9511818007111134,0.20122628434802647
26,1,stage_1_small_easy,6,6,0.0884,1,959,-348,108,0,0.0,1,0,0,0.9492794371096911,0.24735794016332538
27,1,stage_1_small_easy,6,6,0.1048,1,71,-363,108,0,0.0,0,0,0,0.9473808782354717,0.26547459374975274
28,1,stage_1_small_easy,6,6,0.1059,1,446,-382,108,0,0.0,0,0,0,0.9454861164790007,0.25430516615785936
29,1,stage_1_small_easy,6,6,0.1001,1,610,-293,108,0,0.0,0,0,0,0.9435951442460427,0.24332832407068322
30,1,stage_1_small_easy,6,6,0.088,1,926,-303,108,0,0.0,0,0,0,0.9417079539575507,0.23158499984829514
31,1,stage_1_small_easy,6,6,0.1079,1,989,-335,108,0,0.0,0,1,0,0.9398245380496356,0.2639512765324778
32,1,stage_1_small_easy,6,6,0.1138,1,542,-371,108,0,0.0,0,0,0,0.9379448889735363,0.2101875134502296
33,1,stage_1_small_easy,6,6,0.1039,1,681,-348,108,0,0.0,0,0,0,0.9360689991955893,0.17597287448330057
34,1,stage_1_small_easy,6,6,0.0989,1,921,-393,108,0,0.0,0,0,0,0.9341968611971981,0.20731007600962012
35,1,stage_1_small_easy,6,6,0.0955,1,157,-317,108,0,0.0,0,0,0,0.9323284674748037,0.21333056936661401
36,1,stage_1_small_easy,6,6,0.1097,1,756,-333,108,0,0.0,0,0,0,0.930463810539854,0.17466125488971118
37,1,stage_1_small_easy,6,6,0.0854,1,360,-298,108,0,0.0,0,0,0,0.9286028829187744,0.16733138483983498
38,1,stage_1_small_easy,6,6,0.1036,1,732,-352,108,0,0.0,1,0,0,0.9267456771529368,0.19032884806532552
39,1,stage_1_small_easy,6,6,0.1099,1,1,-389,108,0,0.0,0,0,0,0.9248921857986309,0.18427842989977863
40,1,stage_1_small_easy,6,6,0.0864,1,652,-243,108,0,0.0,0,0,0,0.9230424014270336,0.17099662373463312
41,1,stage_1_small_easy,6,6,0.1084,1,32,-353,108,0,0.0,0,0,0,0.9211963166241796,0.18483637721726187
42,1,stage_1_small_easy,6,6,0.1109,1,169,-277,108,0,0.0,1,0,0,0.9193539239909312,0.1740986123957016
43,1,stage_1_small_easy,6,6,0.0904,1,457,-272,108,0,0.0,1,0,0,0.9175152161429493,0.150386954140332
44,1,stage_1_small_easy,6,6,0.1154,1,333,-292,108,0,0.0,0,0,0,0.9156801857106633,0.1585613638162613
45,1,stage_1_small_easy,6,6,0.082,1,192,-393,108,0,0.0,0,0,0,0.913848825339242,0.1685010785650876
46,1,stage_1_small_easy,6,6,0.1195,1,972,-258,108,0,0.0,0,0,0,0.9120211276885636,0.1615463119276144
47,1,stage_1_small_easy,6,6,0.0801,1,734,-341,108,0,0.0,0,0,0,0.9101970854331864,0.14917870821362292
48,1,stage_1_small_easy,6,6,0.0876,1,894,-283,108,0,0.0,0,0,0,0.9083766912623201,0.14238205538303764
49,1,stage_1_small_easy,6,6,0.1075,1,102,-141,98,1,0.02040816326530612,1,1,1,0.9065599378797955,0.17609514303657473
50,1,stage_1_small_easy,6,6,0.1051,1,281,-328,108,0,0.02,0,0,0,0.9047468180040359,0.15504957211238365
51,1,stage_1_small_easy,6,6,0.1145,1,669,-312,108,0,0.0196078431372549,0,0,0,0.9029373243680279,0.1927785275986901
52,1,stage_1_small_easy,6,6,0.1149,1,871,-356,108,0,0.019230769230769232,0,0,0,0.9011314497192918,0.20110719571648925
53,1,stage_1_small_easy,6,6,0.0816,1,571,-396,108,0,0.018867924528301886,0,0,0,0.8993291868198532,0.22746762226301212
54,1,stage_1_small_easy,6,6,0.1175,1,866,-291,108,0,0.018518518518518517,1,1,0,0.8975305284462135,0.2264447454708042
55,1,stage_1_small_easy,6,6,0.1056,1,892,-212,108,0,0.01818181818181818,0,1,0,0.8957354673893211,0.14947350790586184
