episode,level_id,level_name,total_reward,steps,success,epsilon,loss,collected_key,solved_puzzles,opened_door,moving_avg_reward,moving_success_rate
1,2,Advanced Puzzle Room,-604,150,0,0.997,0,0,1,0,-604.0,0.0
2,1,Alternative Maze Room,-598,150,0,0.994009,0,1,0,0,-601.0,0.0
3,2,Advanced Puzzle Room,-607,150,0,0.991026973,0,1,0,0,-603.0,0.0
4,0,Classic Escape Room,-528,150,0,0.988053892081,0,0,1,0,-584.25,0.0
5,2,Advanced Puzzle Room,-577,150,0,0.985089730404757,0,1,0,0,-582.8,0.0
6,1,Alternative Maze Room,-652,150,0,0.9821344612135428,0,0,1,0,-594.3333333333334,0.0
7,0,Classic Escape Room,-476,150,0,0.9791880578299021,0,1,2,0,-577.4285714285714,0.0
8,1,Alternative Maze Room,-560,150,0,0.9762504936564125,0,0,2,0,-575.25,0.0
9,2,Advanced Puzzle Room,-639,150,0,0.9733217421754432,0,1,0,0,-582.3333333333334,0.0
10,0,Classic Escape Room,-615,150,0,0.9704017769489168,0,0,2,0,-585.6,0.0
11,2,Advanced Puzzle Room,-643,150,0,0.9674905716180701,0,0,1,0,-590.8181818181819,0.0
12,0,Classic Escape Room,-568,150,0,0.9645880999032158,0,1,1,0,-588.9166666666666,0.0
13,0,Classic Escape Room,-526,150,0,0.9616943356035061,0,1,1,0,-584.0769230769231,0.0
14,2,Advanced Puzzle Room,-571,150,0,0.9588092525966956,0,1,1,0,-583.1428571428571,0.0
15,2,Advanced Puzzle Room,-580,150,0,0.9559328248389055,0,1,1,0,-582.9333333333333,0.0
16,1,Alternative Maze Room,-592,150,0,0.9530650263643888,0,0,1,0,-583.5,0.0
17,0,Classic Escape Room,-545,150,0,0.9502058312852957,0,0,2,0,-581.2352941176471,0.0
18,2,Advanced Puzzle Room,-558,150,0,0.9473552137914398,0,1,1,0,-579.9444444444445,0.0
19,1,Alternative Maze Room,-529,150,0,0.9445131481500655,0,1,2,0,-577.2631578947369,0.0
20,1,Alternative Maze Room,-591,150,0,0.9416796087056153,0,1,1,0,-577.95,0.0
21,0,Classic Escape Room,-523,150,0,0.9388545698794984,0,0,3,0,-575.3333333333334,0.0
22,1,Alternative Maze Room,-569,150,0,0.93603800616986,0,1,0,0,-575.0454545454545,0.0
23,2,Advanced Puzzle Room,-567,150,0,0.9332298921513504,0,1,0,0,-574.695652173913,0.0
24,1,Alternative Maze Room,-609,150,0,0.9304302024748964,0,0,1,0,-576.125,0.0
25,2,Advanced Puzzle Room,-622,150,0,0.9276389118674717,0,0,1,0,-577.96,0.0
26,2,Advanced Puzzle Room,-550,150,0,0.9248559951318693,0,1,1,0,-576.8846153846154,0.0
27,2,Advanced Puzzle Room,-591,150,0,0.9220814271464737,0,1,1,0,-577.4074074074074,0.0
28,1,Alternative Maze Room,-553,150,0,0.9193151828650342,0,1,1,0,-576.5357142857143,0.0
29,1,Alternative Maze Room,-530,150,0,0.9165572373164391,0,1,1,0,-574.9310344827586,0.0
30,2,Advanced Puzzle Room,-541,150,0,0.9138075656044898,0,0,3,0,-573.8,0.0
31,2,Advanced Puzzle Room,-603,150,0,0.9110661429076764,0,1,1,0,-574.741935483871,0.0
