agent,seed,rows,cols,grid_size,num_puzzles,success,steps,total_reward
cnn,1000,7,8,8,2,0,168,-168
cnn,1001,11,6,11,1,0,198,-1183
cnn,1002,12,8,12,3,0,288,-288
cnn,1003,12,6,12,1,0,216,-216
cnn,1004,9,12,12,3,0,324,-324
cnn,1005,12,7,12,1,0,252,-252
cnn,1006,7,10,10,1,0,210,-210
cnn,1007,11,7,11,3,0,231,-911
cnn,1008,8,7,8,2,0,168,-168
cnn,1009,7,11,11,1,0,231,-231
cnn,1010,11,8,11,2,0,264,-264
cnn,1011,6,10,10,1,0,180,-1075
cnn,1012,12,9,12,1,0,324,-324
cnn,1013,10,12,12,2,0,360,-2160
cnn,1014,9,9,9,2,0,243,-243
cnn,1015,7,10,10,1,0,210,-1255
cnn,1016,10,6,10,1,0,180,-180
cnn,1017,8,9,9,1,0,216,-216
cnn,1018,11,11,11,2,0,363,-2178
cnn,1019,8,8,8,2,0,192,-192
cnn,1020,11,10,11,2,0,330,-1970
cnn,1021,8,12,12,1,0,288,-288
cnn,1022,9,6,9,1,0,162,-162
cnn,1023,9,11,11,2,0,297,-297
cnn,1024,8,10,10,3,0,240,-240
cnn,1025,6,6,6,2,0,108,-108
cnn,1026,7,10,10,3,0,210,-210
cnn,1027,11,11,11,1,0,363,-363
cnn,1028,10,12,12,3,0,360,-480
cnn,1029,11,7,11,2,0,231,-231
cnn,1030,9,12,12,1,0,324,-1944
cnn,1031,12,10,12,2,0,360,-360
cnn,1032,8,10,10,1,0,240,-240
cnn,1033,9,7,9,3,0,189,-189
cnn,1034,11,6,11,3,0,198,-198
cnn,1035,8,6,8,1,0,144,-144
cnn,1036,10,8,10,3,0,240,-240
cnn,1037,8,9,9,2,0,216,-216
cnn,1038,7,8,8,1,0,168,-168
cnn,1039,11,8,11,2,0,264,-264
cnn,1040,12,9,12,1,0,324,-324
cnn,1041,10,8,10,2,0,240,-240
cnn,1042,11,11,11,3,0,363,-363
cnn,1043,10,7,10,3,0,210,-210
cnn,1044,7,11,11,1,0,231,-231
cnn,1045,8,10,10,3,0,240,-1440
cnn,1046,8,6,8,2,0,144,-144
cnn,1047,11,9,11,3,0,297,-297
cnn,1048,6,9,9,2,0,162,-162
cnn,1049,6,6,6,3,0,108,-108
cnn,1050,8,7,8,1,0,168,-168
cnn,1051,9,6,9,1,0,162,-162
cnn,1052,11,6,11,2,0,198,-198
cnn,1053,7,9,9,2,0,189,-189
cnn,1054,11,8,11,3,0,264,-264
cnn,1055,10,7,10,3,0,210,-210
cnn,1056,9,9,9,2,0,243,-1458
cnn,1057,8,10,10,2,0,240,-1430
cnn,1058,8,12,12,2,0,288,-1728
cnn,1059,6,9,9,2,0,162,-162
cnn,1060,9,9,9,1,0,243,-1103
cnn,1061,8,6,8,3,0,144,-144
cnn,1062,6,8,8,2,0,144,-144
cnn,1063,11,9,11,2,0,297,-1782
cnn,1064,11,8,11,3,0,264,-264
cnn,1065,9,12,12,2,0,324,-324
cnn,1066,6,9,9,1,0,162,-162
cnn,1067,9,7,9,3,0,189,-189
cnn,1068,8,6,8,1,0,144,-144
cnn,1069,6,7,7,1,0,126,-126
cnn,1070,6,10,10,2,0,180,-180
cnn,1071,8,9,9,3,0,216,-216
cnn,1072,6,12,12,3,0,216,-1211
cnn,1073,8,10,10,2,0,240,-1440
cnn,1074,9,10,10,2,0,270,-270
cnn,1075,12,7,12,1,0,252,-252
cnn,1076,8,7,8,1,0,168,-168
cnn,1077,8,6,8,2,0,144,-144
cnn,1078,7,9,9,1,0,189,-189
cnn,1079,10,10,10,3,0,300,-1800
cnn,1080,11,10,11,3,0,330,-1960
cnn,1081,7,9,9,3,0,189,-189
cnn,1082,10,10,10,3,0,300,-300
cnn,1083,11,12,12,1,0,396,-396
cnn,1084,8,11,11,2,0,264,-264
cnn,1085,8,8,8,2,0,192,-192
cnn,1086,6,8,8,3,0,144,-144
cnn,1087,12,10,12,3,0,360,-360
cnn,1088,10,12,12,1,0,360,-360
cnn,1089,9,8,9,3,0,216,-216
cnn,1090,9,7,9,2,0,189,-189
cnn,1091,11,10,11,2,0,330,-1955
cnn,1092,8,7,8,1,0,168,-168
cnn,1093,9,7,9,1,0,189,-189
cnn,1094,12,10,12,3,0,360,-2150
cnn,1095,9,9,9,3,0,243,-243
cnn,1096,8,6,8,3,0,144,-144
cnn,1097,10,12,12,2,0,360,-360
cnn,1098,9,10,10,3,0,270,-270
cnn,1099,8,6,8,3,0,144,-144
