episode,stage,stage_name,rows,cols,wall_density,num_puzzles,level_seed,total_reward,steps,success,rolling_success,epsilon,loss
1,1,stage_1_small_easy,6,6,0.0816,1,414,-558,144,0,0.0,0.999,1.861920166015625
2,1,stage_1_small_easy,6,6,0.0943,1,516,-547,144,0,0.0,0.998001,1.0991822398371167
3,1,stage_1_small_easy,6,6,0.0856,1,633,-444,144,0,0.0,0.997002999,0.8514468028313584
4,1,stage_1_small_easy,6,6,0.0924,1,920,-548,144,0,0.0,0.996005996001,0.7296004659599729
5,1,stage_1_small_easy,6,6,0.1024,1,444,-497,144,0,0.0,0.995009990004999,0.643333055699865
6,1,stage_1_small_easy,6,6,0.1187,1,453,-521,144,0,0.0,0.994014980014994,0.5741746748487154
7,1,stage_1_small_easy,6,6,0.1122,1,95,-571,144,0,0.0,0.993020965034979,0.5689290399766631
8,1,stage_1_small_easy,6,6,0.1045,1,249,-559,144,0,0.0,0.9920279440699441,0.5160159820483791
9,1,stage_1_small_easy,6,6,0.0876,1,244,-562,144,0,0.0,0.9910359161258742,0.40753086946076816
10,1,stage_1_small_easy,6,6,0.0836,1,896,-664,144,0,0.0,0.9900448802097482,0.3986967897766994
11,1,stage_1_small_easy,6,6,0.0921,1,723,-570,144,0,0.0,0.9890548353295385,0.5423859357833862
12,1,stage_1_small_easy,6,6,0.1126,1,986,-562,144,0,0.0,0.988065780494209,0.48451917204591965
13,1,stage_1_small_easy,6,6,0.0837,1,324,-537,144,0,0.0,0.9870777147137147,0.41670312070184284
14,1,stage_1_small_easy,6,6,0.0874,1,33,-483,144,0,0.0,0.986090636999001,0.4037085837788052
15,1,stage_1_small_easy,6,6,0.0828,1,897,-544,144,0,0.0,0.9851045463620021,0.38950033775634235
16,1,stage_1_small_easy,6,6,0.1137,1,857,-586,144,0,0.0,0.98411944181564,0.4110594772630268
17,1,stage_1_small_easy,6,6,0.114,1,593,-614,144,0,0.0,0.9831353223738244,0.41540544148948455
18,1,stage_1_small_easy,6,6,0.0997,1,84,-522,144,0,0.0,0.9821521870514506,0.41544998933871585
19,1,stage_1_small_easy,6,6,0.0995,1,865,-569,144,0,0.0,0.9811700348643991,0.444310773577955
20,1,stage_1_small_easy,6,6,0.0806,1,119,-485,144,0,0.0,0.9801888648295347,0.4656556687421269
21,1,stage_1_small_easy,6,6,0.1118,1,436,-534,144,0,0.0,0.9792086759647052,0.42162099418540794
22,1,stage_1_small_easy,6,6,0.1113,1,46,-533,144,0,0.0,0.9782294672887405,0.3773164152064257
23,1,stage_1_small_easy,6,6,0.085,1,620,-573,144,0,0.0,0.9772512378214517,0.3345828416446845
24,1,stage_1_small_easy,6,6,0.0837,1,37,-546,144,0,0.0,0.9762739865836303,0.3075188166565365
25,1,stage_1_small_easy,6,6,0.1184,1,735,-429,144,0,0.0,0.9752977125970467,0.33103407588269973
26,1,stage_1_small_easy,6,6,0.0884,1,959,-487,144,0,0.0,0.9743224148844496,0.36348666105833316
27,1,stage_1_small_easy,6,6,0.1048,1,71,-584,144,0,0.0,0.9733480924695651,0.304499715152714
28,1,stage_1_small_easy,6,6,0.1059,1,446,-509,144,0,0.0,0.9723747443770956,0.3230236656963825
29,1,stage_1_small_easy,6,6,0.1001,1,610,-469,144,0,0.0,0.9714023696327185,0.3031888028813733
30,1,stage_1_small_easy,6,6,0.088,1,926,-494,144,0,0.0,0.9704309672630859,0.2616072050813172
31,1,stage_1_small_easy,6,6,0.1079,1,989,-496,144,0,0.0,0.9694605362958227,0.2774826352381044
32,1,stage_1_small_easy,6,6,0.1138,1,542,-484,144,0,0.0,0.9684910757595269,0.26660725484705633
33,1,stage_1_small_easy,6,6,0.1039,1,681,-506,144,0,0.0,0.9675225846837673,0.26382450324793655
34,1,stage_1_small_easy,6,6,0.0989,1,921,-579,144,0,0.0,0.9665550620990835,0.24605571592433584
35,1,stage_1_small_easy,6,6,0.0955,1,157,-473,144,0,0.0,0.9655885070369844,0.24221664677477545
36,1,stage_1_small_easy,6,6,0.1097,1,756,-512,144,0,0.0,0.9646229185299474,0.26675413083285093
37,1,stage_1_small_easy,6,6,0.0854,1,360,-487,144,0,0.0,0.9636582956114175,0.32904784350345534
38,1,stage_1_small_easy,6,6,0.1036,1,732,-559,144,0,0.0,0.9626946373158061,0.21096694759196705
39,1,stage_1_small_easy,6,6,0.1099,1,1,-505,144,0,0.0,0.9617319426784903,0.24796058009896013
